id,Region,Year,unemp_saudi_male,unemp_saudi_fem,unemp_saudi_tot,unemploy_nonsaudi_male,unemploy_nonsaudi_fem,unemp_non_tot,unemp_saud&non_male,unemp_saud&non_fem,unemp_saud&non_tot,
SA01,Riyadh,2017,6.5,27.2,11.6,1.3,3.9,1.6,3,16,5.2,
SA01,Riyadh,2018,8.859755395,30.11763527,13.92392537,1.240930535,4.600166118,1.548188937,3.823470719,20.2761791,6.244655008,
SA01,Riyadh,2019,6.018517256,29.87723807,11.59463103,0.788106481,3.376834081,1.111508348,2.54419207,17.13564013,4.947976826,
SA01,Riyadh,2020,6.948056158,34.11068096,14.29470429,0.652047639,2.25792319,0.811258122,2.765119704,22.32113081,5.991067276,
SA01,Riyadh,2021,5.960732033,19.11110552,10.36448976,1.432177454,4.745840228,1.952753351,3.092537535,13.50796126,5.51235176,
SA01,Riyadh,2022,3.574577028,16.37298222,7.999102525,1.185184432,5.113998093,1.745159621,2.072045605,12.45847321,4.472844022,
SA01,Riyadh,2023,3.286552073,13.17903755,6.794119392,0.808210597,3.707009067,1.252598624,1.793450743,10.02391578,3.823797239,
SA01,Riyadh,2024,2.922288139,10.15974933,5.549268114,0.452952292,5.646071173,0.897288885,1.114238785,8.761115173,2.498823914,
SA02,Makkah,2017,6.1,27.9,10.5,0.1,0.9,0.2,2.2,16.3,4,
SA02,Makkah,2018,5.32001611,24.14997795,9.445294106,0.241486428,0.592128761,0.26925091,2.037048642,15.68917101,3.866859341,
SA02,Makkah,2019,4.702248526,26.40781538,9.874112788,0.08019549,1.129894272,0.158185575,1.613632894,17.7951693,3.814373629,
SA02,Makkah,2020,4.647171447,28.2702844,11.45066956,0.276983967,1.804470641,0.403412484,1.840028987,20.69984452,5.017784709,
SA02,Makkah,2021,7.475980407,23.04675888,12.75613936,1.852615417,11.40946443,3.023032909,3.856650965,19.21331113,7.146943249,
SA02,Makkah,2022,5.453421774,20.70742934,10.58867151,2.356609338,10.25279665,3.23563613,3.466913086,17.5047677,6.383996744,
SA02,Makkah,2023,4.694663917,15.1475243,8.18652716,1.32974057,11.72359997,2.567711054,2.593955327,14.08837229,5.058104097,
SA02,Makkah,2024,4.332407848,17.77357549,8.930869081,0.883159808,7.664910164,1.26098155,1.824196914,15.42652457,3.945620895,
SA03,Madinah,2017,13.8,45.4,21.2,0.8,4.6,1.1,5.9,32.5,9.8,
SA03,Madinah,2018,12.0097781,39.87443029,19.83522239,1.211911357,4.507291206,1.446703818,5.530929415,31.82438646,9.953775597,
SA03,Madinah,2019,8.937888452,37.75524469,16.19573178,0.524885245,6.910867881,1.176074997,4.043602408,27.90535397,8.133559782,
SA03,Madinah,2020,9.505233233,36.48329095,17.59897555,0.750198054,2.61993598,0.93143581,4.314463287,27.43331971,8.760839835,
SA03,Madinah,2021,9.309525288,21.73572082,13.16722609,1.16228462,6.468525793,1.818492051,4.518987939,17.01701752,7.164177203,
SA03,Madinah,2022,7.951161981,25.59284696,13.61184362,2.066315823,5.89917231,2.484890567,4.521112865,20.35258255,7.872532284,
SA03,Madinah,2023,6.577744687,22.33645139,11.87505902,1.624637938,12.54921558,3.100042744,3.797023072,19.56664281,7.526442532,
SA03,Madinah,2024,6.651837883,18.12172554,10.34702293,2.418635489,10.11667278,2.983810315,3.770916749,16.02373887,5.861758335,
SA05,Qassim,2017,6.7,31.8,12.6,0,0.6,0.1,3,19.1,6,
SA05,Qassim,2018,7.146234167,29.94548177,12.65760983,0,0,0,3.100598005,17.72698009,5.870885803,
SA05,Qassim,2019,5.547104205,16.29643675,7.94116405,0.355139364,0,0.30875553,2.678736755,9.893301457,3.936904523,
SA05,Qassim,2020,5.751451604,3.137027828,5.186202529,0,0,0,2.38838872,1.779091331,2.286002717,
SA05,Qassim,2021,8.679370194,22.20163528,12.76296047,0.888683671,0.302454002,0.813986079,4.442944399,15.9190408,6.930781957,
SA05,Qassim,2022,5.429520873,23.47924255,11.05557892,0.833400897,2.880407125,1.124757708,2.939486226,17.25228607,6.220535087,
SA05,Qassim,2023,4.887764011,17.55228967,9.067748711,0.693639498,1.277999447,0.785160528,2.649608118,12.648139,5.123963533,
SA05,Qassim,2024,5.412298858,15.75106462,8.87606892,1.022194039,1.888190301,1.154895265,2.99222979,11.50691482,5.084835136,
SA04,Easte. Prov.,2017,6.8,33.5,11.4,0.1,0.9,0.1,2.7,18.7,4.8,
SA04,Easte. Prov.,2018,4.674753192,22.39032991,7.802359801,0.833163956,3.443398011,1.096956288,2.330775178,13.84974205,3.852166171,
SA04,Easte. Prov.,2019,5.316180801,24.33868277,8.870452749,0.354115665,2.34388555,0.542801523,2.250555365,15.0063077,3.938814294,
SA04,Easte. Prov.,2020,3.149345858,15.19054347,6.115489012,0.30216887,2.339615911,0.45870477,1.421970495,11.56643947,2.962437067,
SA04,Easte. Prov.,2021,6.051148186,19.77725458,10.13000588,0.752115863,2.33221734,0.950890897,2.919106346,14.02517079,5.196501717,
SA04,Easte. Prov.,2022,3.899212702,17.74998438,8.074473634,1.439012981,5.989225287,1.923197502,2.46265701,14.46690518,4.856467747,
SA04,Easte. Prov.,2023,4.082109291,13.44539868,7.079645325,0.532635079,3.666637586,0.919250762,2.067874864,10.69118698,3.972729141,
SA04,Easte. Prov.,2024,3.317701388,11.36195229,5.918633128,0.673050236,5.330231695,0.980549242,1.424034539,9.723094239,2.727364164,
SA14,Asir,2017,4.2,27.3,8,0.1,0.5,0.2,2.4,16.7,4.7,
SA14,Asir,2018,7.888075286,36.97054129,14.94099853,0.174092672,2.119624802,0.36158935,4.214061516,28.86741016,8.634353068,
SA14,Asir,2019,8.185375913,40.53529186,17.83837076,0.2386227,0.80686504,0.30814372,4.438737917,31.54744496,10.54119185,
SA14,Asir,2020,8.430611322,35.91322978,16.51854576,0.162713794,0,0.14313042,4.608793758,28.01281222,9.834905791,
SA14,Asir,2021,6.026360406,21.77338229,10.66383004,0.651262268,0,0.564498311,3.565771891,16.60999065,6.550454124,
SA14,Asir,2022,5.733153793,23.03104674,11.43004449,0.849728119,3.453478942,1.224437725,3.589945536,18.89636437,7.552627698,
SA14,Asir,2023,4.61439422,19.24592115,9.546693673,0.504980747,4.588935843,1.114349834,2.903881237,16.35300005,6.535088662,
SA14,Asir,2024,6.484769898,20.83391438,11.17484714,0.498311386,1.51021976,0.587182483,2.683709387,15.87853777,5.223720467,
SA07,Tabuk,2017,9,52.2,16.6,0.1,0,0.1,5.2,40.2,9.9,
SA07,Tabuk,2018,10.27712759,41.32648569,15.7347942,0.219701175,0,0.19290044,5.805695853,27.16173209,9.066704366,
SA07,Tabuk,2019,2.106597488,24.34963813,6.740136016,0,0,0,1.187485044,19.00257051,4.032674719,
SA07,Tabuk,2020,2.414491067,15.16359241,5.775175129,0,0,0,1.43724324,14.51373013,3.81826206,
SA07,Tabuk,2021,10.96572388,31.17600733,17.17749296,0.906602279,1.912206016,1.006406926,6.671065893,26.60754363,11.28751088,
SA07,Tabuk,2022,5.4682638,29.865449,13.1789105,1.554988334,2.979299671,1.709198813,3.782253902,25.40494276,8.965727725,
SA07,Tabuk,2023,4.749046496,20.04306842,9.127781181,0.630248727,3.339365988,0.957771927,3.086723783,16.89770791,6.230839112,
SA07,Tabuk,2024,3.36561003,11.12728235,5.999236795,0.137738575,1.644818204,0.239690786,1.421425695,9.455924666,3.017737,
SA06,Hail,2017,10.9,40.1,16.8,0.4,0,0.3,5.8,24.2,9.1,
SA06,Hail,2018,7.193728695,35.33561285,13.99821242,0.991519194,1.39704099,1.054774101,3.950914724,22.15418818,7.577480754,
SA06,Hail,2019,4.462353738,28.23074873,9.14205898,0.057965999,2.758960463,0.390675375,2.32384249,19.29013013,5.084483462,
SA06,Hail,2020,3.659603035,13.3216917,6.265280976,0.208352822,1.626763476,0.429852888,1.901229647,9.318020923,3.502817949,
SA06,Hail,2021,7.601970817,20.79004549,12.04640759,0,0.871459695,0.15357379,3.801444635,14.8911511,6.743742233,
SA06,Hail,2022,6.267682091,22.50255301,11.87550253,0.790239357,2.046287195,0.996731426,3.670764743,17.35641227,7.372613401,
SA06,Hail,2023,5.121486973,19.92949631,10.48780967,0.418208288,0.286983528,0.393163163,2.986852295,14.89233003,6.493171021,
SA06,Hail,2024,3.527725015,14.59558317,7.037510524,0.49252557,1.779268604,0.65435603,1.599845413,10.10501035,3.359123964,
SA08,North.Bord.,2017,7.3,50.5,18.8,0.1,1.8,0.4,4.1,37.7,11.2,
SA08,North.Bord.,2018,11.49264889,49.51325561,22.95785761,0.556745182,4.27513733,1.287325398,6.457222247,34.77302205,13.72880791,
