Region,id,2017,2018,2019,2020,2021,2022,2023,2024
AL - Baha,SA11,0.5,0,2.304553093,0,0,1.531259917,2.094412174,1.146663755
AL - Jouf,SA12,8.4,0,0.449952054,2.277951933,4.919556253,4.350108261,5.284689156,1.241579712
Asir,SA14,0.5,2.119624802,0.80686504,0,0,3.453478942,4.588935843,1.51021976
Easte. Prov.,SA04,0.9,3.443398011,2.34388555,2.339615911,2.33221734,5.989225287,3.666637586,5.330231695
Hail,SA06,0,1.39704099,2.758960463,1.626763476,0.871459695,2.046287195,0.286983528,1.779268604
Jazan,SA09,0,2.53164557,0,6.510594668,0.592585089,13.12822816,9.434123425,2.787627516
Madinah,SA03,4.6,4.507291206,6.910867881,2.61993598,6.468525793,5.89917231,12.54921558,10.11667278
Makkah,SA02,0.9,0.592128761,1.129894272,1.804470641,11.40946443,10.25279665,11.72359997,7.664910164
Najran,SA10,0.6,2.544005314,1.81493194,9.61524683,0,5.704450455,3.327380393,0
North.Bord.,SA08,1.8,4.27513733,2.910360885,0,0,0.787704131,4.057771664,1.79876335
Qassim,SA05,0.6,0,0,0,0.302454002,2.880407125,1.277999447,1.888190301
Riyadh,SA01,3.9,4.600166118,3.376834081,2.25792319,4.745840228,5.113998093,3.707009067,5.646071173
Tabuk,SA07,0,0,0,0,1.912206016,2.979299671,3.339365988,1.644818204
