Region,id,2017,2018,2019,2020,2021,2022,2023,2024
AL - Baha,SA11,0.1,0.581647453,0.32018025,0,0.113551994,0.705792772,0.404518157,0
AL - Jouf,SA12,0.7,0.470713571,0.167561033,0.216145199,0.808499336,0.582608226,0.680951938,0
Asir,SA14,0.1,0.174092672,0.2386227,0.162713794,0.651262268,0.849728119,0.504980747,0.498311386
Easte. Prov.,SA04,0.1,0.833163956,0.354115665,0.30216887,0.752115863,1.439012981,0.532635079,0.673050236
Hail,SA06,0.4,0.991519194,0.057965999,0.208352822,0,0.790239357,0.418208288,0.49252557
Jazan,SA09,0.3,0.046450101,0.550343965,0,0.925256614,2.979781442,1.189911143,1.042730739
Madinah,SA03,0.8,1.211911357,0.524885245,0.750198054,1.16228462,2.066315823,1.624637938,2.418635489
Makkah,SA02,0.1,0.241486428,0.08019549,0.276983967,1.852615417,2.356609338,1.32974057,0.883159808
Najran,SA10,0.2,0.282611105,0.389088557,0.61818651,2.396341732,2.354191263,1.145408194,1.971863082
North.Bord.,SA08,0.1,0.556745182,0.240750842,0.336333402,0.591966989,1.328725496,1.505234207,0.917288758
Qassim,SA05,0,0,0.355139364,0,0.888683671,0.833400897,0.693639498,1.022194039
Riyadh,SA01,1.3,1.240930535,0.788106481,0.652047639,1.432177454,1.185184432,0.808210597,0.452952292
Tabuk,SA07,0.1,0.219701175,0,0,0.906602279,1.554988334,0.630248727,0.137738575
