Region,id,2017,2018,2019,2020,2021,2022,2023,2024
AL - Baha,SA11,0.1,0.505937285,0.630323041,0,0.093631835,0.834404668,0.674536256,0.124034304
AL - Jouf,SA12,1.6,0.405066607,0.203057923,0.405960501,1.444198955,1.115483129,1.360840671,0.127728672
Asir,SA14,0.2,0.36158935,0.30814372,0.14313042,0.564498311,1.224437725,1.114349834,0.587182483
Easte. Prov.,SA04,0.1,1.096956288,0.542801523,0.45870477,0.950890897,1.923197502,0.919250762,0.980549242
Hail,SA06,0.3,1.054774101,0.390675375,0.429852888,0.15357379,0.996731426,0.393163163,0.65435603
Jazan,SA09,0.3,0.193783722,0.521775222,0.187787411,0.89344949,4.095907057,2.13337895,1.150662559
Madinah,SA03,1.1,1.446703818,1.176074997,0.93143581,1.818492051,2.484890567,3.100042744,2.983810315
Makkah,SA02,0.2,0.26925091,0.158185575,0.403412484,3.023032909,3.23563613,2.567711054,1.26098155
Najran,SA10,0.2,0.60597426,0.579595661,1.792074487,2.067056057,2.647736821,1.391867502,1.879776114
North.Bord.,SA08,0.4,1.287325398,0.643605468,0.287065993,0.494594899,1.236030876,1.960372103,1.039600651
Qassim,SA05,0.1,0,0.30875553,0,0.813986079,1.124757708,0.785160528,1.154895265
Riyadh,SA01,1.6,1.548188937,1.111508348,0.811258122,1.952753351,1.745159621,1.252598624,0.897288885
Tabuk,SA07,0.1,0.19290044,0,0,1.006406926,1.709198813,0.957771927,0.239690786
