Region,id,2017,2018,2019,2020,2021,2022,2023,2024
AL - Baha,SA11,43.6,34.94246148,36.56220586,35.21927017,20.151849,20.0566394,22.42500182,19.69884789
AL - Jouf,SA12,47.7,41.52085763,44.98408873,59.17737382,21.39031403,28.15831364,25.1527385,13.9358256
Asir,SA14,27.3,36.97054129,40.53529186,35.91322978,21.77338229,23.03104674,19.24592115,20.83391438
Easte. Prov.,SA04,33.5,22.39032991,24.33868277,15.19054347,19.77725458,17.74998438,13.44539868,11.36195229
Hail,SA06,40.1,35.33561285,28.23074873,13.3216917,20.79004549,22.50255301,19.92949631,14.59558317
Jazan,SA09,44.2,40.70305876,48.64256787,31.54651977,22.00183931,22.06043721,19.77301969,16.64160451
Madinah,SA03,45.4,39.87443029,37.75524469,36.48329095,21.73572082,25.59284696,22.33645139,18.12172554
Makkah,SA02,27.9,24.14997795,26.40781538,28.2702844,23.04675888,20.70742934,15.1475243,17.77357549
Najran,SA10,36.2,26.2858647,48.29203929,27.25804416,17.42282665,20.47377327,14.32311573,7.586206897
North.Bord.,SA08,50.5,49.51325561,46.27784822,17.19051938,17.0271104,22.47482949,22.12115504,19.09495249
Qassim,SA05,31.8,29.94548177,16.29643675,3.137027828,22.20163528,23.47924255,17.55228967,15.75106462
Riyadh,SA01,27.2,30.11763527,29.87723807,34.11068096,19.11110552,16.37298222,13.17903755,10.15974933
Tabuk,SA07,52.2,41.32648569,24.34963813,15.16359241,31.17600733,29.865449,20.04306842,11.12728235
