Region,id,2017,2018,2019,2020,2021,2022,2023,2024
AL - Baha,SA11,8.1,6.816131942,8.585208158,5.093760919,6.220236692,5.096324337,5.796096415,8.055996823
AL - Jouf,SA12,11.8,20.32300557,19.76833659,18.49624263,12.92476407,8.508290129,6.245695944,4.422768742
Asir,SA14,4.2,7.888075286,8.185375913,8.430611322,6.026360406,5.733153793,4.61439422,6.484769898
Easte. Prov.,SA04,6.8,4.674753192,5.316180801,3.149345858,6.051148186,3.899212702,4.082109291,3.317701388
Hail,SA06,10.9,7.193728695,4.462353738,3.659603035,7.601970817,6.267682091,5.121486973,3.527725015
Jazan,SA09,10.4,11.30111686,14.70302275,4.093910225,9.668569561,7.566212754,7.047735472,7.288996129
Madinah,SA03,13.8,12.0097781,8.937888452,9.505233233,9.309525288,7.951161981,6.577744687,6.651837883
Makkah,SA02,6.1,5.32001611,4.702248526,4.647171447,7.475980407,5.453421774,4.694663917,4.332407848
Najran,SA10,5.3,3.241960991,7.752866678,3.507934498,6.019324596,4.025712007,4.669999367,2.234213996
North.Bord.,SA08,7.3,11.49264889,7.895760945,1.265751097,4.486142564,6.148598417,6.159744041,5.724047982
Qassim,SA05,6.7,7.146234167,5.547104205,5.751451604,8.679370194,5.429520873,4.887764011,5.412298858
Riyadh,SA01,6.5,8.859755395,6.018517256,6.948056158,5.960732033,3.574577028,3.286552073,2.922288139
Tabuk,SA07,9,10.27712759,2.106597488,2.414491067,10.96572388,5.4682638,4.749046496,3.36561003
