Region,id,2017,2018,2019,2020,2021,2022,2023,2024
AL - Baha,SA11,4.4,3.930403006,4.701235737,2.691521298,3.487985827,3.224920578,3.541147457,3.223499686
AL - Jouf,SA12,5.6,9.246296993,8.705827428,8.249143251,6.391218663,4.206196938,3.457151009,1.658826091
Asir,SA14,2.4,4.214061516,4.438737917,4.608793758,3.565771891,3.589945536,2.903881237,2.683709387
Easte. Prov.,SA04,2.7,2.330775178,2.250555365,1.421970495,2.919106346,2.46265701,2.067874864,1.424034539
Hail,SA06,5.8,3.950914724,2.32384249,1.901229647,3.801444635,3.670764743,2.986852295,1.599845413
Jazan,SA09,6.2,6.600252217,8.584965384,2.565642519,5.988695981,5.722806908,4.769427922,3.647971485
Madinah,SA03,5.9,5.530929415,4.043602408,4.314463287,4.518987939,4.521112865,3.797023072,3.770916749
Makkah,SA02,2.2,2.037048642,1.613632894,1.840028987,3.856650965,3.466913086,2.593955327,1.824196914
Najran,SA10,2.8,1.828202929,4.05460809,2.134238272,4.333459504,3.285493948,3.153389778,2.064844423
North.Bord.,SA08,4.1,6.457222247,4.642854288,0.866363614,2.756653992,4.108448928,4.28243428,2.903666591
Qassim,SA05,3,3.100598005,2.678736755,2.38838872,4.442944399,2.939486226,2.649608118,2.99222979
Riyadh,SA01,3,3.823470719,2.54419207,2.765119704,3.092537535,2.072045605,1.793450743,1.114238785
Tabuk,SA07,5.2,5.805695853,1.187485044,1.43724324,6.671065893,3.782253902,3.086723783,1.421425695
