Region,id,2017,2018,2019,2020,2021,2022,2023,2024
AL - Baha,SA11,9.9,8.86758538,10.53403893,8.762090755,6.290267723,6.767046872,8.167172014,5.8882555
AL - Jouf,SA12,12.1,13.99295579,13.6932149,16.92766005,8.621167649,8.588019829,7.887947872,3.696844086
Asir,SA14,4.7,8.634353068,10.54119185,9.834905791,6.550454124,7.552627698,6.535088662,5.223720467
Easte. Prov.,SA04,4.8,3.852166171,3.938814294,2.962437067,5.196501717,4.856467747,3.972729141,2.727364164
Hail,SA06,9.1,7.577480754,5.084483462,3.502817949,6.743742233,7.372613401,6.493171021,3.359123964
Jazan,SA09,11.1,11.93418056,15.64829179,8.122742861,8.944682829,9.502450522,8.335626599,5.811837542
Madinah,SA03,9.8,9.953775597,8.133559782,8.760839835,7.164177203,7.872532284,7.526442532,5.861758335
Makkah,SA02,4,3.866859341,3.814373629,5.017784709,7.146943249,6.383996744,5.058104097,3.945620895
Najran,SA10,5.4,3.960542606,9.168658907,6.547267993,6.371680025,6.659667017,5.43363706,2.794253138
North.Bord.,SA08,11.2,13.72880791,10.40791574,3.430549065,5.242733368,7.707576472,8.319582462,5.58837232
Qassim,SA05,6,5.870885803,3.936904523,2.286002717,6.930781957,6.220535087,5.123963533,5.084835136
Riyadh,SA01,5.2,6.244655008,4.947976826,5.991067276,5.51235176,4.472844022,3.823797239,2.498823914
Tabuk,SA07,9.9,9.066704366,4.032674719,3.81826206,11.28751088,8.965727725,6.230839112,3.017737
