Region,id,2017,2018,2019,2020,2021,2022,2023,2024
AL - Baha,SA11,17,14.79994833,17.59076084,14.93477636,10.50406106,10.20494416,12.13444727,12.16125881
AL - Jouf,SA12,22.6,27.3327578,27.53055305,32.2769481,15.51582816,15.33261856,12.88069335,7.901582398
Asir,SA14,8,14.94099853,17.83837076,16.51854576,10.66383004,11.43004449,9.546693673,11.17484714
Easte. Prov.,SA04,11.4,7.802359801,8.870452749,6.115489012,10.13000588,8.074473634,7.079645325,5.918633128
Hail,SA06,16.8,13.99821242,9.14205898,6.265280976,12.04640759,11.87550253,10.48780967,7.037510524
Jazan,SA09,17.5,18.64884687,24.34558544,11.65010254,13.43744173,12.26217191,11.30281682,10.42636138
Madinah,SA03,21.2,19.83522239,16.19573178,17.59897555,13.16722609,13.61184362,11.87505902,10.34702293
Makkah,SA02,10.5,9.445294106,9.874112788,11.45066956,12.75613936,10.58867151,8.18652716,8.930869081
Najran,SA10,10,6.962826954,16.91120458,10.12243636,9.419710896,9.080568104,7.769915741,3.973695487
North.Bord.,SA08,18.8,22.95785761,16.90984112,5.472616083,8.375138169,11.54484239,11.72650054,10.44165725
Qassim,SA05,12.6,12.65760983,7.94116405,5.186202529,12.76296047,11.05557892,9.067748711,8.87606892
Riyadh,SA01,11.6,13.92392537,11.59463103,14.29470429,10.36448976,7.999102525,6.794119392,5.549268114
Tabuk,SA07,16.6,15.7347942,6.740136016,5.775175129,17.17749296,13.1789105,9.127781181,5.999236795
